Unnamed: 0,Date,State/UT,Commodity,Price,Temperature,Humidity,Precipitation,Wind Speed
0,01/06/2024,Andaman and Nicobar,Rice,48.33,,,,
1,01/06/2024,Andhra Pradesh,Rice,60.6,,,,
2,01/06/2024,Arunachal pradesh,Rice,50.0,,,,
3,01/06/2024,Assam,Rice,42.08,,,,
4,01/06/2024,Bihar,Rice,38.81,,,,
5,01/06/2024,Chandigarh,Rice,42.0,,,,
6,01/06/2024,Chhattisgarh,Rice,39.5,,,,
7,01/06/2024,Delhi,Rice,40.0,,,,
8,01/06/2024,DNH and DD,Rice,50.0,,,,
9,01/06/2024,Gujarat,Rice,42.71,,,,
10,01/06/2024,Haryana,Rice,46.67,,,,
11,01/06/2024,Himachal Pradesh,Rice,40.67,,,,
12,01/06/2024,Jammu and Kashmir,Rice,49.0,,,,
13,01/06/2024,Jharkhand,Rice,39.33,,,,
14,01/06/2024,Karnataka,Rice,59.8,,,,
15,01/06/2024,Kerala,Rice,49.55,,,,
16,01/06/2024,Madhya Pradesh,Rice,40.63,,,,
17,01/06/2024,Maharashtra,Rice,51.32,,,,
18,01/06/2024,Meghalaya,Rice,40.0,,,,
19,01/06/2024,Mizoram,Rice,50.0,,,,
20,01/06/2024,Nagaland,Rice,42.06,,,,
21,01/06/2024,Odisha,Rice,38.82,,,,
22,01/06/2024,Punjab,Rice,39.0,,,,
23,01/06/2024,Rajasthan,Rice,39.71,,,,
24,01/06/2024,Sikkim,Rice,54.0,,,,
25,01/06/2024,Tamil Nadu,Rice,61.5,,,,
26,01/06/2024,Telangana,Rice,54.0,,,,
27,01/06/2024,Tripura,Rice,38.25,,,,
28,01/06/2024,Uttar Pradesh,Rice,38.66,,,,
29,01/06/2024,Uttarakhand,Rice,35.5,,,,
30,01/06/2024,West Bengal,Rice,44.13,,,,
31,02/06/2024,Andhra Pradesh,Rice,59.0,,,,
32,02/06/2024,Arunachal pradesh,Rice,48.0,,,,
33,02/06/2024,Assam,Rice,42.06,,,,
34,02/06/2024,Bihar,Rice,38.63,,,,
35,02/06/2024,Chandigarh,Rice,42.0,,,,
36,02/06/2024,Chhattisgarh,Rice,39.2,,,,
37,02/06/2024,Delhi,Rice,40.0,,,,
38,02/06/2024,DNH and DD,Rice,50.0,,,,
39,02/06/2024,Gujarat,Rice,45.0,,,,
40,02/06/2024,Haryana,Rice,36.5,,,,
41,02/06/2024,Himachal Pradesh,Rice,40.67,,,,
42,02/06/2024,Jammu and Kashmir,Rice,38.0,,,,
43,02/06/2024,Jharkhand,Rice,40.09,,,,
44,02/06/2024,Karnataka,Rice,59.68,,,,
45,02/06/2024,Madhya Pradesh,Rice,41.1,,,,
46,02/06/2024,Maharashtra,Rice,51.32,,,,
47,02/06/2024,Meghalaya,Rice,42.67,,,,
48,02/06/2024,Mizoram,Rice,50.0,,,,
49,02/06/2024,Odisha,Rice,40.0,,,,
50,02/06/2024,Punjab,Rice,38.82,,,,
51,02/06/2024,Rajasthan,Rice,38.0,,,,
52,02/06/2024,Sikkim,Rice,60.0,,,,
53,02/06/2024,Tamil Nadu,Rice,62.4,,,,
54,02/06/2024,Telangana,Rice,50.0,,,,
55,02/06/2024,Uttar Pradesh,Rice,38.67,,,,
56,02/06/2024,Uttarakhand,Rice,34.0,,,,
57,02/06/2024,West Bengal,Rice,42.77,,,,
58,03/06/2024,Andaman and Nicobar,Rice,48.33,,,,
59,03/06/2024,Andhra Pradesh,Rice,60.2,,,,
60,03/06/2024,Arunachal pradesh,Rice,46.0,,,,
61,03/06/2024,Assam,Rice,42.63,,,,
62,03/06/2024,Bihar,Rice,37.91,,,,
63,03/06/2024,Chandigarh,Rice,42.0,,,,
64,03/06/2024,Chhattisgarh,Rice,41.14,,,,
65,03/06/2024,Delhi,Rice,40.0,,,,
66,03/06/2024,DNH and DD,Rice,50.0,,,,
67,03/06/2024,Goa,Rice,53.0,,,,
68,03/06/2024,Gujarat,Rice,43.29,,,,
69,03/06/2024,Haryana,Rice,43.75,,,,
70,03/06/2024,Himachal Pradesh,Rice,40.67,,,,
71,03/06/2024,Jammu and Kashmir,Rice,46.83,,,,
72,03/06/2024,Jharkhand,Rice,39.37,,,,
73,03/06/2024,Karnataka,Rice,60.4,,,,
74,03/06/2024,Kerala,Rice,50.77,,,,
75,03/06/2024,Madhya Pradesh,Rice,40.92,,,,
76,03/06/2024,Maharashtra,Rice,51.37,,,,
77,03/06/2024,Manipur,Rice,50.0,,,,
78,03/06/2024,Meghalaya,Rice,38.1,,,,
79,03/06/2024,Mizoram,Rice,48.0,,,,
80,03/06/2024,Nagaland,Rice,41.75,,,,
81,03/06/2024,Odisha,Rice,38.73,,,,
82,03/06/2024,Punjab,Rice,39.73,,,,
83,03/06/2024,Rajasthan,Rice,40.24,,,,
84,03/06/2024,Sikkim,Rice,54.2,,,,
85,03/06/2024,Tamil Nadu,Rice,61.82,,,,
86,03/06/2024,Telangana,Rice,54.1,,,,
87,03/06/2024,Tripura,Rice,38.25,,,,
88,03/06/2024,Uttar Pradesh,Rice,38.49,,,,
89,03/06/2024,Uttarakhand,Rice,37.25,,,,
90,03/06/2024,West Bengal,Rice,44.1,,,,
91,04/06/2024,Andaman and Nicobar,Rice,48.33,,,,
92,04/06/2024,Andhra Pradesh,Rice,52.5,,,,
93,04/06/2024,Arunachal pradesh,Rice,46.0,,,,
94,04/06/2024,Assam,Rice,41.74,,,,
95,04/06/2024,Bihar,Rice,37.68,,,,
96,04/06/2024,Chandigarh,Rice,42.0,,,,
97,04/06/2024,Chhattisgarh,Rice,38.75,,,,
98,04/06/2024,Delhi,Rice,40.0,,,,
99,04/06/2024,DNH and DD,Rice,50.0,,,,
100,04/06/2024,Goa,Rice,53.0,,,,
101,04/06/2024,Gujarat,Rice,43.83,,,,
102,04/06/2024,Haryana,Rice,43.75,,,,
103,04/06/2024,Himachal Pradesh,Rice,40.67,,,,
104,04/06/2024,Jammu and Kashmir,Rice,48.0,,,,
105,04/06/2024,Jharkhand,Rice,39.5,,,,
106,04/06/2024,Karnataka,Rice,59.83,,,,
107,04/06/2024,Kerala,Rice,50.42,,,,
108,04/06/2024,Madhya Pradesh,Rice,40.71,,,,
109,04/06/2024,Maharashtra,Rice,51.37,,,,
110,04/06/2024,Meghalaya,Rice,38.71,,,,
111,04/06/2024,Mizoram,Rice,48.18,,,,
112,04/06/2024,Nagaland,Rice,41.75,,,,
113,04/06/2024,Odisha,Rice,37.89,,,,
114,04/06/2024,Punjab,Rice,39.8,,,,
115,04/06/2024,Rajasthan,Rice,39.65,,,,
116,04/06/2024,Sikkim,Rice,54.2,,,,
117,04/06/2024,Tamil Nadu,Rice,60.96,,,,
118,04/06/2024,Telangana,Rice,51.0,,,,
119,04/06/2024,Tripura,Rice,37.0,,,,
120,04/06/2024,Uttar Pradesh,Rice,38.38,,,,
121,04/06/2024,Uttarakhand,Rice,37.0,,,,
122,04/06/2024,West Bengal,Rice,43.89,,,,
123,05/06/2024,Andaman and Nicobar,Rice,48.33,,,,
124,05/06/2024,Andhra Pradesh,Rice,60.2,,,,
125,05/06/2024,Arunachal pradesh,Rice,46.0,,,,
126,05/06/2024,Assam,Rice,41.76,,,,
127,05/06/2024,Bihar,Rice,38.22,,,,
128,05/06/2024,Chandigarh,Rice,42.0,,,,
129,05/06/2024,Chhattisgarh,Rice,41.14,,,,
130,05/06/2024,Delhi,Rice,40.0,,,,
131,05/06/2024,DNH and DD,Rice,50.0,,,,
132,05/06/2024,Goa,Rice,52.5,,,,
133,05/06/2024,Gujarat,Rice,43.71,,,,
134,05/06/2024,Haryana,Rice,43.75,,,,
135,05/06/2024,Himachal Pradesh,Rice,40.75,,,,
136,05/06/2024,Jammu and Kashmir,Rice,48.0,,,,
137,05/06/2024,Jharkhand,Rice,39.44,,,,
138,05/06/2024,Karnataka,Rice,59.88,,,,
139,05/06/2024,Kerala,Rice,50.25,,,,
140,05/06/2024,Madhya Pradesh,Rice,40.9,,,,
141,05/06/2024,Maharashtra,Rice,51.53,,,,
142,05/06/2024,Manipur,Rice,50.0,,,,
143,05/06/2024,Meghalaya,Rice,38.1,,,,
144,05/06/2024,Mizoram,Rice,48.18,,,,
145,05/06/2024,Nagaland,Rice,41.75,,,,
146,05/06/2024,Odisha,Rice,38.35,,,,
147,05/06/2024,Puducherry,Rice,64.0,,,,
148,05/06/2024,Punjab,Rice,40.29,,,,
149,05/06/2024,Rajasthan,Rice,41.04,,,,
150,05/06/2024,Sikkim,Rice,54.2,,,,
151,05/06/2024,Tamil Nadu,Rice,61.64,,,,
152,05/06/2024,Telangana,Rice,54.2,,,,
153,05/06/2024,Tripura,Rice,38.25,,,,
154,05/06/2024,Uttar Pradesh,Rice,38.57,,,,
155,05/06/2024,Uttarakhand,Rice,37.75,,,,
156,05/06/2024,West Bengal,Rice,44.48,,,,
157,06/06/2024,Andaman and Nicobar,Rice,48.33,,,,
158,06/06/2024,Andhra Pradesh,Rice,60.25,,,,
159,06/06/2024,Arunachal pradesh,Rice,46.0,,,,
160,06/06/2024,Assam,Rice,42.82,,,,
161,06/06/2024,Bihar,Rice,37.84,,,,
162,06/06/2024,Chandigarh,Rice,40.0,,,,
163,06/06/2024,Chhattisgarh,Rice,41.14,,,,
164,06/06/2024,Delhi,Rice,40.0,,,,
165,06/06/2024,DNH and DD,Rice,50.0,,,,
166,06/06/2024,Goa,Rice,52.5,,,,
167,06/06/2024,Gujarat,Rice,43.86,,,,
168,06/06/2024,Haryana,Rice,49.0,,,,
169,06/06/2024,Himachal Pradesh,Rice,41.0,,,,
170,06/06/2024,Jammu and Kashmir,Rice,46.0,,,,
