Unnamed: 0,Date,State/UT,Commodity,Price,Temperature,Humidity,Precipitation,Wind Speed
0,6/1/2024,Andaman and Nicobar,Rice,48.33,,,,
1,6/1/2024,Andhra Pradesh,Rice,60.6,30.9,79,0.05,31.3
2,6/1/2024,Arunachal pradesh,Rice,50,,,,
3,6/1/2024,Assam,Rice,42.08,27.3,85,9.79,9.4
4,6/1/2024,Bihar,Rice,38.81,37.8,38,2.25,29.5
5,6/1/2024,Chandigarh,Rice,42,37.4,10,0.27,41.8
6,6/1/2024,Chhattisgarh,Rice,39.5,39.2,22,0,22
7,6/1/2024,Delhi,Rice,40,14.2,61,0.63,12.2
8,6/1/2024,DNH and DD,Rice,50,,,,
9,6/1/2024,Gujarat,Rice,42.71,34.9,43,0,28.8
10,6/1/2024,Haryana,Rice,46.67,40,11,0,27.4
11,6/1/2024,Himachal Pradesh,Rice,40.67,25.9,20,0.04,30.6
12,6/1/2024,Jammu and Kashmir,Rice,49,37.1,12,0,19.1
13,6/1/2024,Jharkhand,Rice,39.33,34.3,38,0,30.2
14,6/1/2024,Karnataka,Rice,59.8,26.5,74,11.28,25.2
15,6/1/2024,Kerala,Rice,49.55,27.6,85,2.8,14.4
16,6/1/2024,Madhya Pradesh,Rice,40.63,33.4,35,0,28.4
17,6/1/2024,Maharashtra,Rice,51.32,30.5,70,0.08,19.8
18,6/1/2024,Meghalaya,Rice,40,21.4,93,32.5,9.4
19,6/1/2024,Mizoram,Rice,50,26.3,87,5.24,5.4
20,6/1/2024,Nagaland,Rice,42.06,21,88,13.13,5.8
21,6/1/2024,Odisha,Rice,38.82,,,,
22,6/1/2024,Punjab,Rice,39,38.9,12,0.01,20.5
23,6/1/2024,Rajasthan,Rice,39.71,35.8,27,0,24.5
24,6/1/2024,Sikkim,Rice,54,16.8,84,12.57,6.8
25,6/1/2024,Tamil Nadu,Rice,61.5,32.1,69,0,29.2
26,6/1/2024,Telangana,Rice,54,,,,
27,6/1/2024,Tripura,Rice,38.25,29.8,80,6.39,17.6
28,6/1/2024,Uttar Pradesh,Rice,38.66,40.4,18,0,21.6
29,6/1/2024,Uttarakhand,Rice,35.5,36.3,11,0,17.3
30,6/1/2024,West Bengal,Rice,44.13,32.5,69,0.7,29.5
31,6/2/2024,Andhra Pradesh,Rice,59,30.4,77,5.79,29.5
32,6/2/2024,Arunachal pradesh,Rice,48,,,,
33,6/2/2024,Assam,Rice,42.06,28.4,78,7.52,13.7
34,6/2/2024,Bihar,Rice,38.63,39.3,30,0.05,23.8
35,6/2/2024,Chandigarh,Rice,42,38.6,10,0,21.6
36,6/2/2024,Chhattisgarh,Rice,39.2,37.1,28,0,21.6
37,6/2/2024,Delhi,Rice,40,16,68,0.01,14
38,6/2/2024,DNH and DD,Rice,50,,,,
39,6/2/2024,Gujarat,Rice,45,34.3,43,0,27.4
40,6/2/2024,Haryana,Rice,36.5,39.8,14,0,25.9
41,6/2/2024,Himachal Pradesh,Rice,40.67,28.1,16,0,24.1
42,6/2/2024,Jammu and Kashmir,Rice,38,37.2,12,0,23.4
43,6/2/2024,Jharkhand,Rice,40.09,33.1,37,0.01,26.6
44,6/2/2024,Karnataka,Rice,59.68,26.3,71,10.96,19.1
45,6/2/2024,Madhya Pradesh,Rice,41.1,33,34,0,25.6
46,6/2/2024,Maharashtra,Rice,51.32,30.4,69,0.25,20.2
47,6/2/2024,Meghalaya,Rice,42.67,21.1,91,8.48,9.4
48,6/2/2024,Mizoram,Rice,50,26.2,84,2.45,5.8
49,6/2/2024,Odisha,Rice,40,,,,
50,6/2/2024,Punjab,Rice,38.82,40.4,12,0,15.8
51,6/2/2024,Rajasthan,Rice,38,35.5,26,0,23
52,6/2/2024,Sikkim,Rice,60,17.2,79,11.56,8.3
53,6/2/2024,Tamil Nadu,Rice,62.4,30.9,66,5.12,22.7
54,6/2/2024,Telangana,Rice,50,,,,
55,6/2/2024,Uttar Pradesh,Rice,38.67,40.7,13,0,25.6
56,6/2/2024,Uttarakhand,Rice,34,34.3,15,0,17.6
57,6/2/2024,West Bengal,Rice,42.77,32.5,67,0.06,34.6
58,6/3/2024,Andaman and Nicobar,Rice,48.33,,,,
59,6/3/2024,Andhra Pradesh,Rice,60.2,29.7,72,0.58,37.8
60,6/3/2024,Arunachal pradesh,Rice,46,,,,
61,6/3/2024,Assam,Rice,42.63,26.3,86,13.01,16.2
62,6/3/2024,Bihar,Rice,37.91,38.9,28,0.03,22.7
63,6/3/2024,Chandigarh,Rice,42,36.2,15,0,47.5
64,6/3/2024,Chhattisgarh,Rice,41.14,35.2,36,0,25.6
65,6/3/2024,Delhi,Rice,40,16.3,86,0.08,16.2
66,6/3/2024,DNH and DD,Rice,50,,,,
67,6/3/2024,Goa,Rice,53,29.6,74,1.48,17.3
68,6/3/2024,Gujarat,Rice,43.29,34.7,42,0,23.8
69,6/3/2024,Haryana,Rice,43.75,38.3,19,0.14,37.1
70,6/3/2024,Himachal Pradesh,Rice,40.67,26.6,20,0,24.5
71,6/3/2024,Jammu and Kashmir,Rice,46.83,37.2,14,0,39.6
72,6/3/2024,Jharkhand,Rice,39.37,32.5,40,0.04,25.9
73,6/3/2024,Karnataka,Rice,60.4,26,74,4.88,19.4
74,6/3/2024,Kerala,Rice,50.77,26.7,88,7.11,10.1
75,6/3/2024,Madhya Pradesh,Rice,40.92,33.8,34,0.01,25.2
76,6/3/2024,Maharashtra,Rice,51.37,30.4,69,0.11,18.4
77,6/3/2024,Manipur,Rice,50,31.3,71,0.39,26.3
78,6/3/2024,Meghalaya,Rice,38.1,20.3,94,15,9.7
79,6/3/2024,Mizoram,Rice,48,26.1,81,7.03,6.8
80,6/3/2024,Nagaland,Rice,41.75,21.2,85,9.06,6.8
81,6/3/2024,Odisha,Rice,38.73,,,,
82,6/3/2024,Punjab,Rice,39.73,41.3,13,0,28.1
83,6/3/2024,Rajasthan,Rice,40.24,35.9,25,0,27
84,6/3/2024,Sikkim,Rice,54.2,17,82,13.92,9.4
85,6/3/2024,Tamil Nadu,Rice,61.82,30.1,68,0.69,25.2
86,6/3/2024,Telangana,Rice,54.1,,,,
87,6/3/2024,Tripura,Rice,38.25,29,83,7.77,18.4
88,6/3/2024,Uttar Pradesh,Rice,38.49,41.4,13,0,28.1
89,6/3/2024,Uttarakhand,Rice,37.25,34.8,19,0.01,19.8
90,6/3/2024,West Bengal,Rice,44.1,31.9,68,0.02,28.4
91,6/4/2024,Andaman and Nicobar,Rice,48.33,,,,
92,6/4/2024,Andhra Pradesh,Rice,52.5,31.2,70,0,37.1
93,6/4/2024,Arunachal pradesh,Rice,46,,,,
94,6/4/2024,Assam,Rice,41.74,27.4,83,15,9.4
95,6/4/2024,Bihar,Rice,37.68,37.6,33,0.42,29.2
96,6/4/2024,Chandigarh,Rice,42,35.6,23,1.16,37.8
97,6/4/2024,Chhattisgarh,Rice,38.75,35.2,33,0.14,22.3
98,6/4/2024,Delhi,Rice,40,20,77,0.03,14.4
99,6/4/2024,DNH and DD,Rice,50,,,,
100,6/4/2024,Goa,Rice,53,29.3,75,4.62,13
101,6/4/2024,Gujarat,Rice,43.83,34.4,39,0,23.8
102,6/4/2024,Haryana,Rice,43.75,39.4,16,0.14,32
103,6/4/2024,Himachal Pradesh,Rice,40.67,24,39,15.1,27.4
104,6/4/2024,Jammu and Kashmir,Rice,48,35.8,20,1.99,34.2
105,6/4/2024,Jharkhand,Rice,39.5,33.9,32,0,27.7
106,6/4/2024,Karnataka,Rice,59.83,25.8,76,4.69,19.1
107,6/4/2024,Kerala,Rice,50.42,27.2,82,0.78,10.1
108,6/4/2024,Madhya Pradesh,Rice,40.71,33.5,36,0,27
109,6/4/2024,Maharashtra,Rice,51.37,30.3,72,0.92,22
110,6/4/2024,Meghalaya,Rice,38.71,20.8,90,20.62,8.6
111,6/4/2024,Mizoram,Rice,48.18,23.4,91,11.3,6.5
112,6/4/2024,Nagaland,Rice,41.75,19,90,7,5.4
113,6/4/2024,Odisha,Rice,37.89,,,,
114,6/4/2024,Punjab,Rice,39.8,40.4,15,0,30.2
115,6/4/2024,Rajasthan,Rice,39.65,35.8,22,0,29.2
116,6/4/2024,Sikkim,Rice,54.2,17.1,88,19.17,7.6
117,6/4/2024,Tamil Nadu,Rice,60.96,30.3,75,6.59,25.9
118,6/4/2024,Telangana,Rice,51,,,,
119,6/4/2024,Tripura,Rice,37,28.1,85,9.68,17.3
120,6/4/2024,Uttar Pradesh,Rice,38.38,40.6,16,0,28.8
121,6/4/2024,Uttarakhand,Rice,37,33,22,0,20.5
122,6/4/2024,West Bengal,Rice,43.89,32.8,65,3.8,26.3
123,6/5/2024,Andaman and Nicobar,Rice,48.33,,,,
124,6/5/2024,Andhra Pradesh,Rice,60.2,31.2,70,2.61,33.5
125,6/5/2024,Arunachal pradesh,Rice,46,,,,
126,6/5/2024,Assam,Rice,41.76,25.5,88,7.8,6.8
127,6/5/2024,Bihar,Rice,38.22,37.9,36,0,37.4
128,6/5/2024,Chandigarh,Rice,42,35.2,21,1.38,34.6
129,6/5/2024,Chhattisgarh,Rice,41.14,35.1,32,0.02,27.4
130,6/5/2024,Delhi,Rice,40,20.1,86,6.24,22
131,6/5/2024,DNH and DD,Rice,50,,,,
132,6/5/2024,Goa,Rice,52.5,29.6,73,4.13,17.6
133,6/5/2024,Gujarat,Rice,43.71,34.8,38,0,22
134,6/5/2024,Haryana,Rice,43.75,37.9,18,0.09,33.8
135,6/5/2024,Himachal Pradesh,Rice,40.75,26.2,27,0.01,27.7
136,6/5/2024,Jammu and Kashmir,Rice,48,34.5,23,4.57,36
137,6/5/2024,Jharkhand,Rice,39.44,36.1,24,0,29.9
138,6/5/2024,Karnataka,Rice,59.88,25.5,76,5.3,18
139,6/5/2024,Kerala,Rice,50.25,27.4,83,3.67,11.2
140,6/5/2024,Madhya Pradesh,Rice,40.9,33.6,38,0.21,26.3
141,6/5/2024,Maharashtra,Rice,51.53,30.4,72,2.51,20.9
142,6/5/2024,Manipur,Rice,50,30.6,74,5.27,36
143,6/5/2024,Meghalaya,Rice,38.1,19.2,93,8.11,6.8
144,6/5/2024,Mizoram,Rice,48.18,24.4,81,2.8,5.8
145,6/5/2024,Nagaland,Rice,41.75,20.2,85,10.74,6.8
146,6/5/2024,Odisha,Rice,38.35,,,,
147,6/5/2024,Puducherry,Rice,64,30.4,72,14.19,27.7
148,6/5/2024,Punjab,Rice,40.29,39.1,20,1.37,36.7
149,6/5/2024,Rajasthan,Rice,41.04,35.1,25,0,24.8
150,6/5/2024,Sikkim,Rice,54.2,17,80,11.81,10.1
151,6/5/2024,Tamil Nadu,Rice,61.64,30.7,69,18.43,20.2
152,6/5/2024,Telangana,Rice,54.2,,,,
153,6/5/2024,Tripura,Rice,38.25,29.2,82,2.94,18.4
154,6/5/2024,Uttar Pradesh,Rice,38.57,40.7,15,0,25.2
155,6/5/2024,Uttarakhand,Rice,37.75,34.2,18,0.04,18.7
156,6/5/2024,West Bengal,Rice,44.48,33.9,62,0.33,32.8
157,6/6/2024,Andaman and Nicobar,Rice,48.33,,,,
