DATE,States/UTs,Commodity,Price,Dates
2024-06-01,Andaman and Nicobar,Rice,48.33,
2024-06-01,Andhra Pradesh,Rice,60.6,
2024-06-01,Arunachal pradesh,Rice,50.0,
2024-06-01,Assam,Rice,42.08,
2024-06-01,Bihar,Rice,38.81,
2024-06-01,Chandigarh,Rice,42.0,
2024-06-01,Chhattisgarh,Rice,39.5,
2024-06-01,Delhi,Rice,40.0,
2024-06-01,DNH and DD,Rice,50.0,
2024-06-01,Gujarat,Rice,42.71,
2024-06-01,Haryana,Rice,46.67,
2024-06-01,Himachal Pradesh,Rice,40.67,
2024-06-01,Jammu and Kashmir,Rice,49.0,
2024-06-01,Jharkhand,Rice,39.33,
2024-06-01,Karnataka,Rice,59.8,
2024-06-01,Kerala,Rice,49.55,
2024-06-01,Madhya Pradesh,Rice,40.63,
2024-06-01,Maharashtra,Rice,51.32,
2024-06-01,Meghalaya,Rice,40.0,
2024-06-01,Mizoram,Rice,50.0,
2024-06-01,Nagaland,Rice,42.06,
2024-06-01,Odisha,Rice,38.82,
2024-06-01,Punjab,Rice,39.0,
2024-06-01,Rajasthan,Rice,39.71,
2024-06-01,Sikkim,Rice,54.0,
2024-06-01,Tamil Nadu,Rice,61.5,
2024-06-01,Telangana,Rice,54.0,
2024-06-01,Tripura,Rice,38.25,
2024-06-01,Uttar Pradesh,Rice,38.66,
2024-06-01,Uttarakhand,Rice,35.5,
2024-06-01,West Bengal,Rice,44.13,
2024-06-02,Andhra Pradesh,Rice,59.0,
2024-06-02,Arunachal pradesh,Rice,48.0,
2024-06-02,Assam,Rice,42.06,
2024-06-02,Bihar,Rice,38.63,
2024-06-02,Chandigarh,Rice,42.0,
2024-06-02,Chhattisgarh,Rice,39.2,
2024-06-02,Delhi,Rice,40.0,
2024-06-02,DNH and DD,Rice,50.0,
2024-06-02,Gujarat,Rice,45.0,
2024-06-02,Haryana,Rice,36.5,
2024-06-02,Himachal Pradesh,Rice,40.67,
2024-06-02,Jammu and Kashmir,Rice,38.0,
2024-06-02,Jharkhand,Rice,40.09,
2024-06-02,Karnataka,Rice,59.68,
2024-06-02,Madhya Pradesh,Rice,41.1,
2024-06-02,Maharashtra,Rice,51.32,
2024-06-02,Meghalaya,Rice,42.67,
2024-06-02,Mizoram,Rice,50.0,
2024-06-02,Odisha,Rice,40.0,
2024-06-02,Punjab,Rice,38.82,
2024-06-02,Rajasthan,Rice,38.0,
2024-06-02,Sikkim,Rice,60.0,
2024-06-02,Tamil Nadu,Rice,62.4,
2024-06-02,Telangana,Rice,50.0,
2024-06-02,Uttar Pradesh,Rice,38.67,
2024-06-02,Uttarakhand,Rice,34.0,
2024-06-02,West Bengal,Rice,42.77,
2024-06-03,Andaman and Nicobar,Rice,48.33,
2024-06-03,Andhra Pradesh,Rice,60.2,
2024-06-03,Arunachal pradesh,Rice,46.0,
2024-06-03,Assam,Rice,42.63,
2024-06-03,Bihar,Rice,37.91,
2024-06-03,Chandigarh,Rice,42.0,
2024-06-03,Chhattisgarh,Rice,41.14,
2024-06-03,Delhi,Rice,40.0,
2024-06-03,DNH and DD,Rice,50.0,
2024-06-03,Goa,Rice,53.0,
2024-06-03,Gujarat,Rice,43.29,
2024-06-03,Haryana,Rice,43.75,
2024-06-03,Himachal Pradesh,Rice,40.67,
2024-06-03,Jammu and Kashmir,Rice,46.83,
2024-06-03,Jharkhand,Rice,39.37,
2024-06-03,Karnataka,Rice,60.4,
2024-06-03,Kerala,Rice,50.77,
2024-06-03,Madhya Pradesh,Rice,40.92,
2024-06-03,Maharashtra,Rice,51.37,
2024-06-03,Manipur,Rice,50.0,
2024-06-03,Meghalaya,Rice,38.1,
2024-06-03,Mizoram,Rice,48.0,
2024-06-03,Nagaland,Rice,41.75,
2024-06-03,Odisha,Rice,38.73,
2024-06-03,Punjab,Rice,39.73,
2024-06-03,Rajasthan,Rice,40.24,
2024-06-03,Sikkim,Rice,54.2,
2024-06-03,Tamil Nadu,Rice,61.82,
2024-06-03,Telangana,Rice,54.1,
2024-06-03,Tripura,Rice,38.25,
2024-06-03,Uttar Pradesh,Rice,38.49,
2024-06-03,Uttarakhand,Rice,37.25,
2024-06-03,West Bengal,Rice,44.1,
2024-06-04,Andaman and Nicobar,Rice,48.33,
2024-06-04,Andhra Pradesh,Rice,52.5,
2024-06-04,Arunachal pradesh,Rice,46.0,
2024-06-04,Assam,Rice,41.74,
2024-06-04,Bihar,Rice,37.68,
2024-06-04,Chandigarh,Rice,42.0,
2024-06-04,Chhattisgarh,Rice,38.75,
2024-06-04,Delhi,Rice,40.0,
2024-06-04,DNH and DD,Rice,50.0,
2024-06-04,Goa,Rice,53.0,
2024-06-04,Gujarat,Rice,43.83,
2024-06-04,Haryana,Rice,43.75,
2024-06-04,Himachal Pradesh,Rice,40.67,
2024-06-04,Jammu and Kashmir,Rice,48.0,
2024-06-04,Jharkhand,Rice,39.5,
2024-06-04,Karnataka,Rice,59.83,
2024-06-04,Kerala,Rice,50.42,
2024-06-04,Madhya Pradesh,Rice,40.71,
2024-06-04,Maharashtra,Rice,51.37,
2024-06-04,Meghalaya,Rice,38.71,
2024-06-04,Mizoram,Rice,48.18,
2024-06-04,Nagaland,Rice,41.75,
2024-06-04,Odisha,Rice,37.89,
2024-06-04,Punjab,Rice,39.8,
2024-06-04,Rajasthan,Rice,39.65,
2024-06-04,Sikkim,Rice,54.2,
2024-06-04,Tamil Nadu,Rice,60.96,
2024-06-04,Telangana,Rice,51.0,
2024-06-04,Tripura,Rice,37.0,
2024-06-04,Uttar Pradesh,Rice,38.38,
2024-06-04,Uttarakhand,Rice,37.0,
2024-06-04,West Bengal,Rice,43.89,
2024-06-05,Andaman and Nicobar,Rice,48.33,
2024-06-05,Andhra Pradesh,Rice,60.2,
2024-06-05,Arunachal pradesh,Rice,46.0,
2024-06-05,Assam,Rice,41.76,
2024-06-05,Bihar,Rice,38.22,
2024-06-05,Chandigarh,Rice,42.0,
2024-06-05,Chhattisgarh,Rice,41.14,
2024-06-05,Delhi,Rice,40.0,
2024-06-05,DNH and DD,Rice,50.0,
2024-06-05,Goa,Rice,52.5,
2024-06-05,Gujarat,Rice,43.71,
2024-06-05,Haryana,Rice,43.75,
2024-06-05,Himachal Pradesh,Rice,40.75,
2024-06-05,Jammu and Kashmir,Rice,48.0,
2024-06-05,Jharkhand,Rice,39.44,
2024-06-05,Karnataka,Rice,59.88,
2024-06-05,Kerala,Rice,50.25,
2024-06-05,Madhya Pradesh,Rice,40.9,
2024-06-05,Maharashtra,Rice,51.53,
2024-06-05,Manipur,Rice,50.0,
2024-06-05,Meghalaya,Rice,38.1,
2024-06-05,Mizoram,Rice,48.18,
2024-06-05,Nagaland,Rice,41.75,
2024-06-05,Odisha,Rice,38.35,
2024-06-05,Puducherry,Rice,64.0,
2024-06-05,Punjab,Rice,40.29,
2024-06-05,Rajasthan,Rice,41.04,
2024-06-05,Sikkim,Rice,54.2,
2024-06-05,Tamil Nadu,Rice,61.64,
2024-06-05,Telangana,Rice,54.2,
2024-06-05,Tripura,Rice,38.25,
2024-06-05,Uttar Pradesh,Rice,38.57,
2024-06-05,Uttarakhand,Rice,37.75,
2024-06-05,West Bengal,Rice,44.48,
2024-06-06,Andaman and Nicobar,Rice,48.33,
2024-06-06,Andhra Pradesh,Rice,60.25,
2024-06-06,Arunachal pradesh,Rice,46.0,
2024-06-06,Assam,Rice,42.82,
2024-06-06,Bihar,Rice,37.84,
2024-06-06,Chandigarh,Rice,40.0,
2024-06-06,Chhattisgarh,Rice,41.14,
2024-06-06,Delhi,Rice,40.0,
2024-06-06,DNH and DD,Rice,50.0,
