Dates,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
01/07/2024,Andaman and Nicobar,48.67,,68,95.67,173.67,155.67,137,100.67,54.67,73.33,232.5,173.33,165,,129.67,115.67,77,307.67,21,61.67,60,116.67
01/07/2024,Andhra Pradesh,60.8,44,47.6,88,176.8,139.4,126.6,102.8,42.6,60.4,166.8,167.8,110.2,147.33,111.2,90.2,59.2,317,22,36.4,40.8,51
01/07/2024,Arunachal pradesh,46,45,44.25,101.75,160.5,129.25,122.5,105,53.33,76,167,141.5,151,136.5,166.5,,77.5,298.5,18.33,38,46.67,68.33
01/07/2024,Assam,42.96,32.93,36.43,89.75,161.79,115.63,116.18,92.64,47.43,71.65,209.29,150.89,136.05,137.04,147.09,115,59.57,252.71,13.39,31.79,42.82,58.38
01/07/2024,Bihar,38.18,27.26,33.39,81.68,153.84,120.84,114.27,80.16,44.42,56.13,182.56,136.39,123.37,126.62,157.83,104.37,47.58,283.34,23.37,25.55,35.26,39.21
01/07/2024,Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,30,40,43
01/07/2024,Chhattisgarh,42.13,38.63,40.13,93.5,164,114.5,113.5,94.38,43.5,58,204.5,154.63,128.88,130,142.25,114,48.5,299.38,23.38,33.75,40.38,54.13
01/07/2024,Delhi,40,29,32,97,177,143,127,90,44,56,207,148,129,128,139,104,58,243,26,35,50,40
01/07/2024,DNH and DD,49.67,41.33,47.33,92,177.33,149,131,95.33,43.67,65,192,153.33,134.67,135.67,127.33,107.67,63.67,350,27.33,36.67,39.67,70.67
01/07/2024,Goa,52.5,49.5,46.5,95,183.5,152.5,132.5,98,44,57.5,220,160,143,150,117.5,98,60.5,329,24.5,42.5,45,57.5
01/07/2024,Gujarat,43.38,38,40.13,88.5,171.25,127.38,119.13,93.38,43.25,61.5,177.75,143.5,127.63,129.63,126.38,104.63,56.13,251.5,16.38,34.25,40.38,57
01/07/2024,Haryana,39.75,29.5,32.5,78.5,143.5,108,107.75,86.5,45.5,60.75,179.75,138.75,120.5,118.5,140,95.75,49.25,225,24.75,23.75,38.25,31.25
01/07/2024,Himachal Pradesh,41.17,22,33.17,90.83,170.5,136.17,117,90.08,46.92,52.17,216.25,164,138.67,130.2,140.5,115.5,49,270.75,27.67,33.75,46.25,37.17
01/07/2024,Jammu and Kashmir,47.5,33,37.17,97.83,152.67,127,123.83,103.67,50.67,51,,152.33,136.17,132.67,143.8,120.33,54.5,311.5,27.4,34.17,44.17,44.33
01/07/2024,Jharkhand,40.06,31.76,35.39,86.61,160.28,120.44,113.44,83,45.76,59,177.33,141.56,127.5,126,151,106,50.71,277.06,24.53,29.89,37.11,52
01/07/2024,Karnataka,59.84,43.58,48.19,95.16,170.68,142.19,127.45,108.1,43,51.29,180.06,162.74,120.68,135.77,121.23,97.39,52.68,287.84,20.23,39.65,40.81,59.68
01/07/2024,Kerala,50.08,44.92,45.83,104.08,191.09,150.36,137,114.5,44,54.08,222.8,164.43,145.38,129,118.08,99,62,231.62,14.83,49.92,42.23,65.92
01/07/2024,Madhya Pradesh,41.15,29.25,34.54,86.13,166.06,120.08,115.92,91.75,43.46,57.71,190.17,136.27,120.33,112.85,135.35,110.57,48.5,253.67,19.55,31.94,37.23,52.85
01/07/2024,Maharashtra,53.47,39.11,43.16,92.16,178.89,136,126.68,96.42,43.26,59.95,183.95,160,129.68,112.53,122.68,102.94,55.53,303.11,23.74,41.58,40.11,62.89
01/07/2024,Manipur,50,43,40,100,180,140,140,95,55,,,150,140,140,,140,85,220,25,40,45,35
01/07/2024,Meghalaya,46.3,38.5,36.7,95.5,165.71,132.5,121.3,90,49.4,73.7,,134.3,138,125.7,172,126,73.83,374.2,21.3,36.4,47.4,76.9
01/07/2024,Mizoram,47.91,42.3,45.9,107.33,151,125.29,127.78,100.27,50.55,77.82,159.5,185.55,170.8,126.91,190.25,130.83,122.75,478.56,29.18,43.36,57.09,81.18
01/07/2024,Nagaland,41.75,42.88,48,102.5,131.5,131.25,121.67,97.38,50.06,73.29,200,138.88,166,149.88,195,142.5,84,322.67,17.88,33.38,59.38,75.63
01/07/2024,Odisha,39.04,37.24,39.96,83.96,164.89,121.7,112,82,44.73,52.56,172.71,143.07,115.5,128.18,116.67,94.93,50.96,281,25.77,31.15,40.37,59.63
01/07/2024,Puducherry,65,45,40,93,182,140,125,92,46,48,203,146,142,,110,101,48,298,26,57,48,47
01/07/2024,Punjab,39.87,25.13,31.2,91.2,160.53,128.33,117.53,99.13,44.86,61.77,201.54,129.27,123.13,116.73,135,102.36,54.29,280.36,26.29,30.53,44.93,38.2
01/07/2024,Rajasthan,41.7,29.19,32.56,76.81,129.96,112.85,104.37,89.59,42.31,52.08,182.44,145.63,121.64,134.7,156.35,107,44.46,296.56,19.42,26.31,35.85,37.28
01/07/2024,Sikkim,53.6,35.2,38.4,86,145,126.6,125,100,49,63.4,,167.8,128.4,138.75,176.5,,60.2,406,18.6,36,56,71.8
01/07/2024,Tamil Nadu,62.03,45.43,53.97,94.9,183.1,145.61,125.26,94.21,43.97,47.42,204.48,175.62,126.1,,113.77,94.13,56.52,312.41,24.35,48.9,46.19,51.68
01/07/2024,Telangana,54.33,42.3,44.9,80.11,166,129.2,118.6,92.1,41.5,64.5,162,164.5,122,149.5,115.3,97.1,55,302,19.67,35.7,45.9,60.2
01/07/2024,Tripura,38.5,,39,88,152.33,128,110.5,103.5,47.75,71.25,,132.75,122.67,116,139.75,100,69.25,221.5,10,34.25,45,65.25
01/07/2024,Uttar Pradesh,39.24,26.57,32.8,84.89,161.64,122.53,115.52,94.16,43.96,62.99,190.8,140.67,127.39,129.43,152.18,110.5,50.15,239.63,26.68,29.96,40.87,43.89
01/07/2024,Uttarakhand,37.75,26.5,34.75,90.5,160.5,122.5,123.25,105.5,42.75,61.25,154.75,139.25,131,131.75,147.75,116.5,56.75,263.75,28,34.75,43.25,37
01/07/2024,West Bengal,45.05,29.78,37.62,84.33,157.38,124.05,127.81,107,45.95,54.62,198.2,133.62,113.38,114.29,127.86,100.11,52.33,274.19,21.62,30.48,40.52,61.29
02/07/2024,Andaman and Nicobar,49,,68,95.67,173,155.67,137.67,101.33,54.33,73.33,232.5,173.67,165,,128.67,114.67,77.33,307.67,20.67,61.67,60,116.67
02/07/2024,Andhra Pradesh,60.8,44,47.6,88,176.8,139.4,126.6,102.8,42.6,60.4,166.8,167.8,110.2,147.33,111.2,90.2,59.2,317,22,36.4,40.8,49
02/07/2024,Arunachal pradesh,46,45,44.25,101.75,162.25,128,122.5,105,53.33,76,143.5,176.5,168.5,144,186.5,,76,298.5,18.33,38.33,46.67,70
02/07/2024,Assam,42.04,32.58,36.04,89.64,162.2,113.67,115.4,93.16,47.67,71.83,214.8,150.67,136.32,135.67,144.55,113.88,59.38,248.42,13.83,32.21,42.54,61.3
