Dates,States/UTs,Commodity,Price
7/1/2024,Andaman and Nicobar,Rice,48.67
7/1/2024,Andhra Pradesh,Rice,60.8
7/1/2024,Arunachal pradesh,Rice,46
7/1/2024,Assam,Rice,42.96
7/1/2024,Bihar,Rice,38.18
7/1/2024,Chandigarh,Rice,40
7/1/2024,Chhattisgarh,Rice,42.13
7/1/2024,Delhi,Rice,40
7/1/2024,DNH and DD,Rice,49.67
7/1/2024,Goa,Rice,52.5
7/1/2024,Gujarat,Rice,43.38
7/1/2024,Haryana,Rice,39.75
7/1/2024,Himachal Pradesh,Rice,41.17
7/1/2024,Jammu and Kashmir,Rice,47.5
7/1/2024,Jharkhand,Rice,40.06
7/1/2024,Karnataka,Rice,59.84
7/1/2024,Kerala,Rice,50.08
7/1/2024,Madhya Pradesh,Rice,41.15
7/1/2024,Maharashtra,Rice,53.47
7/1/2024,Manipur,Rice,50
7/1/2024,Meghalaya,Rice,46.3
7/1/2024,Mizoram,Rice,47.91
7/1/2024,Nagaland,Rice,41.75
7/1/2024,Odisha,Rice,39.04
7/1/2024,Puducherry,Rice,65
7/1/2024,Punjab,Rice,39.87
7/1/2024,Rajasthan,Rice,41.7
7/1/2024,Sikkim,Rice,53.6
7/1/2024,Tamil Nadu,Rice,62.03
7/1/2024,Telangana,Rice,54.33
7/1/2024,Tripura,Rice,38.5
7/1/2024,Uttar Pradesh,Rice,39.24
7/1/2024,Uttarakhand,Rice,37.75
7/1/2024,West Bengal,Rice,45.05
7/2/2024,Andaman and Nicobar,Rice,49
7/2/2024,Andhra Pradesh,Rice,60.8
7/2/2024,Arunachal pradesh,Rice,46
7/2/2024,Assam,Rice,42.04
7/2/2024,Bihar,Rice,38.19
7/2/2024,Chandigarh,Rice,40
7/2/2024,Chhattisgarh,Rice,42.13
7/2/2024,Delhi,Rice,40
7/2/2024,DNH and DD,Rice,49.67
7/2/2024,Goa,Rice,52.5
7/2/2024,Gujarat,Rice,43.25
7/2/2024,Haryana,Rice,39.5
7/2/2024,Himachal Pradesh,Rice,41.08
7/2/2024,Jammu and Kashmir,Rice,49.2
7/2/2024,Jharkhand,Rice,39.89
