DATE,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
01/06/2024,Andaman and Nicobar,48.33,,67.67,95,171,154.33,136,100.67,54.33,73,232.5,173,178.33,,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67
01/06/2024,Andhra Pradesh,60.6,44.4,47.4,86.2,171.8,137.6,126.2,102.8,42.6,60.4,165.8,168.6,110.2,143,109.8,91.2,59,312,21.5,33.6,29.6,32.6
01/06/2024,Arunachal pradesh,50,45,46.67,100,158.33,138.33,125.33,105.33,55,77,167,136.5,128.5,131.5,160,,80,327,17.5,35.5,40,55
01/06/2024,Assam,42.08,32.55,36.46,87.54,156.78,113.3,116.21,92.79,47.33,71.22,211.17,148.08,135,137.42,147.4,114.76,58.71,249.79,13.54,29.33,33.92,35.13
01/06/2024,Bihar,38.81,26.92,33.5,80.12,149.77,121.04,114,79.77,44,55.31,166,131.88,121.54,125.38,157.55,103.55,46.54,275.23,22.5,21.96,29.85,31.04
01/06/2024,Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,20,33,40
01/06/2024,Chhattisgarh,39.5,38.75,39,87.5,162.25,122,124,92,43.25,59,191.75,141.5,123,129.75,151.25,114.5,48.5,223,23.5,28.25,31,29.5
01/06/2024,Delhi,40,29,31,87,173,142,123,90,44,54,207,143,130,130,139,104,58,243,26,30,30,28
01/06/2024,DNH and DD,50,40.67,47.33,87.67,172.33,144,131.33,94.67,43,64,194,147,134,134.67,127,107.67,63.67,350,27.33,32.67,29,27
01/06/2024,Gujarat,42.71,35.71,38.43,83.86,152.86,124.29,113.71,92,41.71,59.86,182.71,138.71,129.14,129.14,123.29,105.86,52,255.29,15.43,27.43,30.14,31
01/06/2024,Haryana,46.67,28.33,34,76,124.67,109.67,106,95.67,43.33,60,186,140.33,128,134,154.33,111,47.33,237.33,25,17.67,28.67,25.67
01/06/2024,Himachal Pradesh,40.67,22,33,85.33,164.08,134,116.25,88.25,46.92,52,219.5,160.42,137.75,129.7,143.5,118,48.33,269.58,27.5,30.5,34.42,31.08
01/06/2024,Jammu and Kashmir,49,30.75,37.4,91,156,130.4,125.4,101.6,51.75,52,,146.6,134.8,128.4,145.75,121.33,55.5,304.25,26.25,30.2,35.2,33.2
01/06/2024,Jharkhand,39.33,31.53,35.06,81,155,119.5,111.06,82.33,45.59,58.75,175.5,138.44,124,126.06,150.86,103.47,48.35,275.88,24.06,25.39,28.5,28.22
01/06/2024,Karnataka,59.8,43.6,47.47,94.23,165.67,141.57,127.83,106.97,43.03,50.03,179.2,163.7,120.4,136.48,119.7,97.57,52.4,282.77,19.97,36.4,32.03,35.5
01/06/2024,Kerala,49.55,45.45,46.2,103.18,183.36,149.91,137.6,114.18,44,53.7,223.6,175,145.1,130,117,100.11,61.6,236.8,15,46.2,34.5,53
01/06/2024,Madhya Pradesh,40.63,28.85,34.22,84.33,163.87,120.09,115.48,90.76,43.24,57.48,190.39,134.91,120.52,112.7,137.38,110.35,47.3,254.22,19.91,25.46,25.72,26.91
01/06/2024,Maharashtra,51.32,38.47,42.68,88.58,173.53,134.47,128,97.26,42.74,59.42,182.11,157.67,127.53,110.79,120.32,102.44,54.47,298.79,23.26,36.47,28.42,34.68
01/06/2024,Meghalaya,40,37.5,36.43,89,157.4,133.4,121.43,89.43,49.14,74.14,,127.86,133,122,190.5,,73.2,349.29,23.29,31.57,39.14,39.71
01/06/2024,Mizoram,50,37.5,52.5,98,,,120,102.5,50,77.5,,185,220,140,,,133.5,520,27.5,50,65,63.5
01/06/2024,Nagaland,42.06,42.88,48.31,101.67,130.25,131.25,121.67,97.38,50.38,73.29,200,139.19,166,150.19,195,142.5,84,322.67,17.88,33.06,50,49.06
01/06/2024,Odisha,38.82,37.5,39.86,82.36,161.18,123.36,113.68,82.82,44.81,52.75,161.6,138.09,111.95,123.5,116.36,96.32,50.57,276.2,26,26.82,32.14,37.27
01/06/2024,Punjab,39,24.86,31.43,92.57,165.29,133.29,120.71,103.57,44.29,60.71,210.43,128.29,122.43,120.86,132.43,99,56.86,285.29,26.14,26,29,22.43
01/06/2024,Rajasthan,39.71,28.71,31.14,69.57,126.71,106.71,101.57,89.57,41.14,54,172.71,151.14,123.5,133.29,153,111,42.29,298.29,19.33,23.86,33.43,35.29
01/06/2024,Sikkim,54,35.4,38.4,85,134.6,127.6,124,101,49,63.4,,166.6,127.2,137.5,170.2,,59.2,415.6,18.6,36,47,42
01/06/2024,Tamil Nadu,61.5,44.75,55.42,91.12,177.46,142.77,124.46,94.26,44.19,47.65,204.38,177.71,128.5,,112.88,93.19,56.19,310.33,24.69,44.46,35.58,40.04
01/06/2024,Telangana,54,42.6,45.9,79.89,163.7,128.9,119,92.1,41.4,66.3,162.4,165.6,121.1,150.5,115.9,97.7,56.6,302.3,20.6,30,26.3,30.7
01/06/2024,Tripura,38.25,,39,87.33,142.33,126.33,111.25,103.75,48.25,70.25,,131.5,122.67,114.75,139.75,100.25,68.75,222,10,33.75,33.75,36
