,DATE,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
0,2024-06-01,0,48.33,36.89,67.67,95.0,171.0,154.33,136.0,100.67,54.33,73.0,232.5,173.0,178.33,129.4,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67
1,2024-06-01,1,60.6,44.4,47.4,86.2,171.8,137.6,126.2,102.8,42.6,60.4,165.8,168.6,110.2,143.0,109.8,91.2,59.0,312.0,21.5,33.6,29.6,32.6
2,2024-06-01,2,50.0,45.0,46.67,100.0,158.33,138.33,125.33,105.33,55.0,77.0,167.0,136.5,128.5,131.5,160.0,104.59,80.0,327.0,17.5,35.5,40.0,55.0
3,2024-06-01,3,42.08,32.55,36.46,87.54,156.78,113.3,116.21,92.79,47.33,71.22,211.17,148.08,135.0,137.42,147.4,114.76,58.71,249.79,13.54,29.33,33.92,35.13
4,2024-06-01,4,38.81,26.92,33.5,80.12,149.77,121.04,114.0,79.77,44.0,55.31,166.0,131.88,121.54,125.38,157.55,103.55,46.54,275.23,22.5,21.96,29.85,31.04
5,2024-06-01,5,42.0,32.0,36.0,80.0,135.0,115.0,113.0,94.0,45.0,59.0,190.0,150.0,128.0,130.0,145.0,105.0,51.0,276.0,27.0,20.0,33.0,40.0
6,2024-06-01,6,39.5,38.75,39.0,87.5,162.25,122.0,124.0,92.0,43.25,59.0,191.75,141.5,123.0,129.75,151.25,114.5,48.5,223.0,23.5,28.25,31.0,29.5
7,2024-06-01,8,40.0,29.0,31.0,87.0,173.0,142.0,123.0,90.0,44.0,54.0,207.0,143.0,130.0,130.0,139.0,104.0,58.0,243.0,26.0,30.0,30.0,28.0
8,2024-06-01,7,50.0,40.67,47.33,87.67,172.33,144.0,131.33,94.67,43.0,64.0,194.0,147.0,134.0,134.67,127.0,107.67,63.67,350.0,27.33,32.67,29.0,27.0
9,2024-06-01,10,42.71,35.71,38.43,83.86,152.86,124.29,113.71,92.0,41.71,59.86,182.71,138.71,129.14,129.14,123.29,105.86,52.0,255.29,15.43,27.43,30.14,31.0
10,2024-06-01,11,46.67,28.33,34.0,76.0,124.67,109.67,106.0,95.67,43.33,60.0,186.0,140.33,128.0,134.0,154.33,111.0,47.33,237.33,25.0,17.67,28.67,25.67
11,2024-06-01,12,40.67,22.0,33.0,85.33,164.08,134.0,116.25,88.25,46.92,52.0,219.5,160.42,137.75,129.7,143.5,118.0,48.33,269.58,27.5,30.5,34.42,31.08
12,2024-06-01,13,49.0,30.75,37.4,91.0,156.0,130.4,125.4,101.6,51.75,52.0,189.75,146.6,134.8,128.4,145.75,121.33,55.5,304.25,26.25,30.2,35.2,33.2
13,2024-06-01,14,39.33,31.53,35.06,81.0,155.0,119.5,111.06,82.33,45.59,58.75,175.5,138.44,124.0,126.06,150.86,103.47,48.35,275.88,24.06,25.39,28.5,28.22
14,2024-06-01,15,59.8,43.6,47.47,94.23,165.67,141.57,127.83,106.97,43.03,50.03,179.2,163.7,120.4,136.48,119.7,97.57,52.4,282.77,19.97,36.4,32.03,35.5
15,2024-06-01,16,49.55,45.45,46.2,103.18,183.36,149.91,137.6,114.18,44.0,53.7,223.6,175.0,145.1,130.0,117.0,100.11,61.6,236.8,15.0,46.2,34.5,53.0
16,2024-06-01,17,40.63,28.85,34.22,84.33,163.87,120.09,115.48,90.76,43.24,57.48,190.39,134.91,120.52,112.7,137.38,110.35,47.3,254.22,19.91,25.46,25.72,26.91
17,2024-06-01,18,51.32,38.47,42.68,88.58,173.53,134.47,128.0,97.26,42.74,59.42,182.11,157.67,127.53,110.79,120.32,102.44,54.47,298.79,23.26,36.47,28.42,34.68
18,2024-06-01,20,40.0,37.5,36.43,89.0,157.4,133.4,121.43,89.43,49.14,74.14,189.75,127.86,133.0,122.0,190.5,104.59,73.2,349.29,23.29,31.57,39.14,39.71
19,2024-06-01,21,50.0,37.5,52.5,98.0,163.0,129.1,120.0,102.5,50.0,77.5,189.75,185.0,220.0,140.0,139.0,104.59,133.5,520.0,27.5,50.0,65.0,63.5
20,2024-06-01,22,42.06,42.88,48.31,101.67,130.25,131.25,121.67,97.38,50.38,73.29,200.0,139.19,166.0,150.19,195.0,142.5,84.0,322.67,17.88,33.06,50.0,49.06
21,2024-06-01,23,38.82,37.5,39.86,82.36,161.18,123.36,113.68,82.82,44.81,52.75,161.6,138.09,111.95,123.5,116.36,96.32,50.57,276.2,26.0,26.82,32.14,37.27
22,2024-06-01,25,39.0,24.86,31.43,92.57,165.29,133.29,120.71,103.57,44.29,60.71,210.43,128.29,122.43,120.86,132.43,99.0,56.86,285.29,26.14,26.0,29.0,22.43
23,2024-06-01,26,39.71,28.71,31.14,69.57,126.71,106.71,101.57,89.57,41.14,54.0,172.71,151.14,123.5,133.29,153.0,111.0,42.29,298.29,19.33,23.86,33.43,35.29
24,2024-06-01,27,54.0,35.4,38.4,85.0,134.6,127.6,124.0,101.0,49.0,63.4,189.75,166.6,127.2,137.5,170.2,104.59,59.2,415.6,18.6,36.0,47.0,42.0
25,2024-06-01,28,61.5,44.75,55.42,91.12,177.46,142.77,124.46,94.26,44.19,47.65,204.38,177.71,128.5,129.4,112.88,93.19,56.19,310.33,24.69,44.46,35.58,40.04
26,2024-06-01,29,54.0,42.6,45.9,79.89,163.7,128.9,119.0,92.1,41.4,66.3,162.4,165.6,121.1,150.5,115.9,97.7,56.6,302.3,20.6,30.0,26.3,30.7
27,2024-06-01,30,38.25,36.89,39.0,87.33,142.33,126.33,111.25,103.75,48.25,70.25,189.75,131.5,122.67,114.75,139.75,100.25,68.75,222.0,10.0,33.75,33.75,36.0
28,2024-06-01,31,38.66,25.93,31.94,80.6,151.1,118.03,111.56,93.65,43.56,62.26,188.07,138.39,128.21,131.21,154.61,110.64,47.45,236.39,26.52,23.48,28.5,27.45
29,2024-06-01,32,35.5,28.5,34.5,89.5,138.5,110.5,109.5,104.5,41.0,53.5,147.5,137.0,134.5,134.0,154.5,143.0,50.5,267.0,28.0,23.5,27.0,25.0
30,2024-06-01,33,44.13,29.75,37.38,83.0,153.38,123.07,126.75,105.38,45.88,54.94,200.9,128.94,110.88,110.38,125.13,99.0,51.06,259.31,21.63,28.19,30.44,34.75
31,2024-06-02,1,59.0,45.5,49.25,86.5,167.25,139.5,127.75,103.5,42.25,63.25,164.0,167.5,110.25,145.0,109.25,92.0,58.75,312.0,21.5,34.25,30.0,35.25
32,2024-06-02,2,48.0,45.0,46.33,102.33,149.67,131.67,121.67,108.33,55.0,75.0,167.0,163.0,137.0,143.0,163.0,104.59,75.0,303.5,22.5,31.0,40.0,50.0
33,2024-06-02,3,42.06,32.14,35.82,85.35,158.12,111.36,116.0,92.94,47.06,71.94,233.0,148.0,134.18,131.76,149.07,109.45,60.06,259.94,14.71,30.12,32.71,36.88
34,2024-06-02,4,38.63,26.69,32.69,81.94,155.88,125.94,116.69,80.25,44.38,56.25,161.86,130.38,119.63,125.06,157.8,103.92,46.69,291.31,22.63,22.56,28.69,30.81
35,2024-06-02,5,42.0,32.0,36.0,80.0,135.0,115.0,113.0,94.0,45.0,59.0,190.0,150.0,128.0,130.0,145.0,105.0,51.0,276.0,27.0,20.0,33.0,40.0
36,2024-06-02,6,39.2,38.0,40.4,93.0,163.8,118.6,119.2,93.2,43.2,57.4,192.6,145.2,118.6,130.2,148.2,111.8,46.8,248.6,23.6,29.2,31.8,29.2
37,2024-06-02,8,40.0,29.0,31.0,87.0,173.0,142.0,123.0,90.0,44.0,54.0,207.0,145.0,130.0,130.0,139.0,104.0,58.0,243.0,26.0,28.0,30.0,28.0
38,2024-06-02,7,50.0,40.67,47.33,87.67,172.33,144.0,131.33,94.67,43.0,64.0,194.0,147.0,134.0,134.67,127.0,107.67,63.67,350.0,27.33,32.67,29.0,27.0
39,2024-06-02,10,45.0,38.0,41.67,85.67,161.0,133.0,119.0,95.33,42.33,60.67,186.33,144.0,135.67,137.67,133.67,118.0,52.67,249.67,14.0,30.0,32.67,34.0
40,2024-06-02,11,36.5,26.0,31.5,70.0,124.0,103.0,97.0,81.0,42.5,56.5,187.5,142.5,120.0,128.5,144.0,100.0,46.0,216.0,22.5,16.0,22.5,23.5
41,2024-06-02,12,40.67,22.0,33.0,85.33,164.08,134.0,116.25,88.25,46.92,52.0,219.5,160.42,137.75,129.7,143.5,118.0,48.33,269.58,27.5,30.5,34.42,31.08
