DATE,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil,Mustard Oil (Packed),Vanaspati,Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Potato_Lag_7,Potato_Lag_30,Potato_Rolling_Avg_7,Onion_Lag_7,Onion_Rolling_Avg_7
2024-06-01,Andaman and Nicobar,48.33,44.4,67.67,95.0,171.0,154.33,136.0,100.67,54.33,73.0,232.5,173.0,178.33,143.0,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67,,,,,
2024-06-01,Andhra Pradesh,60.6,44.4,47.4,86.2,171.8,137.6,126.2,102.8,42.6,60.4,165.8,168.6,110.2,143.0,109.8,91.2,59.0,312.0,21.5,33.6,29.6,32.6,,,,,
2024-06-01,Arunachal pradesh,50.0,45.0,46.67,100.0,158.33,138.33,125.33,105.33,55.0,77.0,167.0,136.5,128.5,131.5,160.0,91.2,80.0,327.0,17.5,35.5,40.0,55.0,,,,,
2024-06-01,Assam,42.08,32.55,36.46,87.54,156.78,113.3,116.21,92.79,47.33,71.22,211.17,148.08,135.0,137.42,147.4,114.76,58.71,249.79,13.54,29.33,33.92,35.13,,,,,
2024-06-01,Bihar,38.81,26.92,33.5,80.12,149.77,121.04,114.0,79.77,44.0,55.31,166.0,131.88,121.54,125.38,157.55,103.55,46.54,275.23,22.5,21.96,29.85,31.04,,,,,
2024-06-01,Chandigarh,42.0,32.0,36.0,80.0,135.0,115.0,113.0,94.0,45.0,59.0,190.0,150.0,128.0,130.0,145.0,105.0,51.0,276.0,27.0,20.0,33.0,40.0,,,,,
2024-06-01,Chhattisgarh,39.5,38.75,39.0,87.5,162.25,122.0,124.0,92.0,43.25,59.0,191.75,141.5,123.0,129.75,151.25,114.5,48.5,223.0,23.5,28.25,31.0,29.5,,,32.424285714285716,,35.81428571428571
2024-06-01,Delhi,40.0,29.0,31.0,87.0,173.0,142.0,123.0,90.0,44.0,54.0,207.0,143.0,130.0,130.0,139.0,104.0,58.0,243.0,26.0,30.0,30.0,28.0,58.33,,28.377142857142854,53.33,32.48142857142857
2024-06-01,DNH and DD,50.0,40.67,47.33,87.67,172.33,144.0,131.33,94.67,43.0,64.0,194.0,147.0,134.0,134.67,127.0,107.67,63.67,350.0,27.33,32.67,29.0,27.0,33.6,,28.244285714285713,29.6,32.395714285714284
2024-06-01,Gujarat,42.71,35.71,38.43,83.86,152.86,124.29,113.71,92.0,41.71,59.86,182.71,138.71,129.14,129.14,123.29,105.86,52.0,255.29,15.43,27.43,30.14,31.0,35.5,,27.09142857142857,40.0,30.987142857142857
2024-06-01,Haryana,46.67,28.33,34.0,76.0,124.67,109.67,106.0,95.67,43.33,60.0,186.0,140.33,128.0,134.0,154.33,111.0,47.33,237.33,25.0,17.67,28.67,25.67,29.33,,25.42571428571429,33.92,30.23714285714286
2024-06-01,Himachal Pradesh,40.67,22.0,33.0,85.33,164.08,134.0,116.25,88.25,46.92,52.0,219.5,160.42,137.75,129.7,143.5,118.0,48.33,269.58,27.5,30.5,34.42,31.08,21.96,,26.645714285714288,29.85,30.889999999999997
2024-06-01,Jammu and Kashmir,49.0,30.75,37.4,91.0,156.0,130.4,125.4,101.6,51.75,52.0,219.5,146.6,134.8,128.4,145.75,121.33,55.5,304.25,26.25,30.2,35.2,33.2,20.0,,28.102857142857143,33.0,31.204285714285714
2024-06-01,Jharkhand,39.33,31.53,35.06,81.0,155.0,119.5,111.06,82.33,45.59,58.75,175.5,138.44,124.0,126.06,150.86,103.47,48.35,275.88,24.06,25.39,28.5,28.22,28.25,,27.694285714285716,31.0,30.84714285714286
2024-06-01,Karnataka,59.8,43.6,47.47,94.23,165.67,141.57,127.83,106.97,43.03,50.03,179.2,163.7,120.4,136.48,119.7,97.57,52.4,282.77,19.97,36.4,32.03,35.5,30.0,,28.608571428571427,30.0,31.137142857142862
2024-06-01,Kerala,49.55,45.45,46.2,103.18,183.36,149.91,137.6,114.18,44.0,53.7,223.6,175.0,145.1,130.0,117.0,100.11,61.6,236.8,15.0,46.2,34.5,53.0,32.67,,30.541428571428572,29.0,31.922857142857147
2024-06-01,Madhya Pradesh,40.63,28.85,34.22,84.33,163.87,120.09,115.48,90.76,43.24,57.48,190.39,134.91,120.52,112.7,137.38,110.35,47.3,254.22,19.91,25.46,25.72,26.91,27.43,,30.26,30.14,31.291428571428575
2024-06-01,Maharashtra,51.32,38.47,42.68,88.58,173.53,134.47,128.0,97.26,42.74,59.42,182.11,157.67,127.53,110.79,120.32,102.44,54.47,298.79,23.26,36.47,28.42,34.68,17.67,,32.94571428571429,28.67,31.255714285714284
2024-06-01,Meghalaya,40.0,37.5,36.43,89.0,157.4,133.4,121.43,89.43,49.14,74.14,182.11,127.86,133.0,122.0,190.5,102.44,73.2,349.29,23.29,31.57,39.14,39.71,30.5,,33.098571428571425,34.42,31.93
2024-06-01,Mizoram,50.0,37.5,52.5,98.0,157.4,133.4,120.0,102.5,50.0,77.5,182.11,185.0,220.0,140.0,190.5,102.44,133.5,520.0,27.5,50.0,65.0,63.5,30.2,,35.92714285714286,35.2,36.18714285714286
2024-06-01,Nagaland,42.06,42.88,48.31,101.67,130.25,131.25,121.67,97.38,50.38,73.29,200.0,139.19,166.0,150.19,195.0,142.5,84.0,322.67,17.88,33.06,50.0,49.06,25.39,,37.02285714285714,28.5,39.25857142857143
2024-06-01,Odisha,38.82,37.5,39.86,82.36,161.18,123.36,113.68,82.82,44.81,52.75,161.6,138.09,111.95,123.5,116.36,96.32,50.57,276.2,26.0,26.82,32.14,37.27,36.4,,35.65428571428571,32.03,39.27428571428571
2024-06-01,Punjab,39.0,24.86,31.43,92.57,165.29,133.29,120.71,103.57,44.29,60.71,210.43,128.29,122.43,120.86,132.43,99.0,56.86,285.29,26.14,26.0,29.0,22.43,46.2,,32.76857142857143,34.5,38.488571428571426
2024-06-01,Rajasthan,39.71,28.71,31.14,69.57,126.71,106.71,101.57,89.57,41.14,54.0,172.71,151.14,123.5,133.29,153.0,111.0,42.29,298.29,19.33,23.86,33.43,35.29,25.46,,32.54,25.72,39.589999999999996
2024-06-01,Sikkim,54.0,35.4,38.4,85.0,134.6,127.6,124.0,101.0,49.0,63.4,172.71,166.6,127.2,137.5,170.2,111.0,59.2,415.6,18.6,36.0,47.0,42.0,36.47,,32.472857142857144,28.42,42.24428571428571
2024-06-01,Tamil Nadu,61.5,44.75,55.42,91.12,177.46,142.77,124.46,94.26,44.19,47.65,204.38,177.71,128.5,137.5,112.88,93.19,56.19,310.33,24.69,44.46,35.58,40.04,31.57,,34.31428571428571,39.14,41.73571428571429
2024-06-01,Telangana,54.0,42.6,45.9,79.89,163.7,128.9,119.0,92.1,41.4,66.3,162.4,165.6,121.1,150.5,115.9,97.7,56.6,302.3,20.6,30.0,26.3,30.7,50.0,,31.457142857142856,65.0,36.20714285714286
2024-06-01,Tripura,38.25,42.6,39.0,87.33,142.33,126.33,111.25,103.75,48.25,70.25,162.4,131.5,122.67,114.75,139.75,100.25,68.75,222.0,10.0,33.75,33.75,36.0,33.06,,31.555714285714284,50.0,33.885714285714286
2024-06-01,Uttar Pradesh,38.66,25.93,31.94,80.6,151.1,118.03,111.56,93.65,43.56,62.26,188.07,138.39,128.21,131.21,154.61,110.64,47.45,236.39,26.52,23.48,28.5,27.45,26.82,,31.07857142857143,32.14,33.36571428571428
2024-06-01,Uttarakhand,35.5,28.5,34.5,89.5,138.5,110.5,109.5,104.5,41.0,53.5,147.5,137.0,134.5,134.0,154.5,143.0,50.5,267.0,28.0,23.5,27.0,25.0,26.0,,30.72142857142857,29.0,33.08
2024-06-01,West Bengal,44.13,29.75,37.38,83.0,153.38,123.07,126.75,105.38,45.88,54.94,200.9,128.94,110.88,110.38,125.13,99.0,51.06,259.31,21.63,28.19,30.44,34.75,23.86,58.33,31.34,33.43,32.652857142857144
2024-06-02,Andhra Pradesh,59.0,45.5,49.25,86.5,167.25,139.5,127.75,103.5,42.25,63.25,164.0,167.5,110.25,145.0,109.25,92.0,58.75,312.0,21.5,34.25,30.0,35.25,36.0,33.6,31.09,47.0,30.224285714285713
2024-06-02,Arunachal pradesh,48.0,45.0,46.33,102.33,149.67,131.67,121.67,108.33,55.0,75.0,167.0,163.0,137.0,143.0,163.0,92.0,75.0,303.5,22.5,31.0,40.0,50.0,44.46,35.5,29.16714285714286,35.58,30.85571428571429
2024-06-02,Assam,42.06,32.14,35.82,85.35,158.12,111.36,116.0,92.94,47.06,71.94,233.0,148.0,134.18,131.76,149.07,109.45,60.06,259.94,14.71,30.12,32.71,36.88,30.0,29.33,29.184285714285718,26.3,31.771428571428572
2024-06-02,Bihar,38.63,26.69,32.69,81.94,155.88,125.94,116.69,80.25,44.38,56.25,161.86,130.38,119.63,125.06,157.8,103.92,46.69,291.31,22.63,22.56,28.69,30.81,33.75,21.96,27.58571428571429,33.75,31.048571428571428
2024-06-02,Chandigarh,42.0,32.0,36.0,80.0,135.0,115.0,113.0,94.0,45.0,59.0,190.0,150.0,128.0,130.0,145.0,105.0,51.0,276.0,27.0,20.0,33.0,40.0,23.48,20.0,27.08857142857143,28.5,31.69142857142857
2024-06-02,Chhattisgarh,39.2,38.0,40.4,93.0,163.8,118.6,119.2,93.2,43.2,57.4,192.6,145.2,118.6,130.2,148.2,111.8,46.8,248.6,23.6,29.2,31.8,29.2,23.5,28.25,27.90285714285714,27.0,32.37714285714286
2024-06-02,Delhi,40.0,29.0,31.0,87.0,173.0,142.0,123.0,90.0,44.0,54.0,207.0,145.0,130.0,130.0,139.0,104.0,58.0,243.0,26.0,28.0,30.0,28.0,28.19,30.0,27.875714285714285,30.44,32.31428571428572
2024-06-02,DNH and DD,50.0,40.67,47.33,87.67,172.33,144.0,131.33,94.67,43.0,64.0,194.0,147.0,134.0,134.67,127.0,107.67,63.67,350.0,27.33,32.67,29.0,27.0,34.25,32.67,27.650000000000002,30.0,32.17142857142857
2024-06-02,Gujarat,45.0,38.0,41.67,85.67,161.0,133.0,119.0,95.33,42.33,60.67,186.33,144.0,135.67,137.67,133.67,118.0,52.67,249.67,14.0,30.0,32.67,34.0,31.0,27.43,27.50714285714286,40.0,31.124285714285715
2024-06-02,Haryana,36.5,26.0,31.5,70.0,124.0,103.0,97.0,81.0,42.5,56.5,187.5,142.5,120.0,128.5,144.0,100.0,46.0,216.0,22.5,16.0,22.5,23.5,30.12,17.67,25.490000000000002,32.71,29.665714285714284
2024-06-02,Himachal Pradesh,40.67,22.0,33.0,85.33,164.08,134.0,116.25,88.25,46.92,52.0,219.5,160.42,137.75,129.7,143.5,118.0,48.33,269.58,27.5,30.5,34.42,31.08,22.56,30.5,26.624285714285715,28.69,30.48428571428571
2024-06-02,Jammu and Kashmir,38.0,34.0,45.5,95.0,149.0,130.0,127.5,102.5,50.0,47.0,219.5,146.0,134.5,130.0,160.5,140.0,56.5,333.5,28.0,35.0,38.5,41.0,20.0,30.2,28.767142857142858,33.0,31.27
2024-06-02,Jharkhand,40.09,31.8,34.91,80.55,157.82,118.0,111.0,82.82,45.27,58.6,192.57,134.73,117.55,123.9,151.38,103.6,48.36,278.73,23.09,24.82,26.64,27.73,29.2,25.39,28.141428571428573,31.8,30.532857142857143
2024-06-02,Karnataka,59.68,43.52,47.23,93.74,165.77,140.42,126.58,104.9,43.2,50.6,182.4,162.37,119.2,135.45,117.67,97.37,53.37,289.17,20.27,35.4,30.73,34.93,28.0,36.4,29.198571428571427,30.0,30.637142857142855
2024-06-02,Madhya Pradesh,41.1,29.05,34.26,84.45,164.6,119.79,115.45,90.86,43.27,57.27,190.15,133.66,119.17,111.59,135.55,111.6,47.37,249.65,19.75,25.8,25.05,26.61,32.67,46.2,28.217142857142854,29.0,30.072857142857142
2024-06-02,Maharashtra,51.32,38.42,42.63,88.63,173.42,134.42,128.0,97.11,42.68,59.47,182.11,157.67,127.63,110.63,120.26,102.19,54.47,298.79,23.26,36.53,28.74,34.68,30.0,25.46,29.15,32.67,29.511428571428574
2024-06-02,Meghalaya,42.67,37.0,35.33,89.33,156.67,127.67,121.0,92.67,48.0,74.0,182.11,121.5,130.0,118.5,210.0,102.19,75.0,330.0,30.0,30.0,40.0,43.5,16.0,36.47,31.150000000000002,22.5,32.01142857142857
2024-06-02,Mizoram,50.0,37.5,52.5,98.0,156.67,127.67,120.0,102.5,50.0,77.5,182.11,185.0,220.0,140.0,210.0,102.19,132.5,520.0,27.5,50.0,65.0,63.5,30.5,31.57,33.93571428571429,34.42,36.379999999999995
2024-06-02,Odisha,40.0,36.0,36.8,85.0,167.8,122.6,113.0,80.8,44.4,52.0,165.0,135.4,109.4,115.0,113.2,94.4,54.6,249.6,26.2,27.8,28.2,40.2,35.0,50.0,32.90714285714286,38.5,34.90857142857143
2024-06-02,Punjab,38.82,25.45,31.18,92.82,162.09,129.64,118.82,100.45,44.18,60.73,198.55,128.09,122.18,120.27,131.82,101.33,54.0,270.64,26.18,25.0,27.55,21.91,24.82,33.06,32.932857142857145,26.64,35.03857142857142
2024-06-02,Rajasthan,38.0,29.43,31.57,75.29,133.57,113.57,105.43,85.43,41.43,51.14,163.0,134.43,117.57,130.57,139.5,111.0,42.86,283.43,17.43,20.57,30.57,31.86,35.4,26.82,30.814285714285713,30.73,35.01571428571429
2024-06-02,Sikkim,60.0,36.0,36.0,80.0,135.0,135.0,130.0,110.0,50.0,60.0,163.0,187.0,167.0,130.57,210.0,111.0,66.0,343.0,17.0,35.0,50.0,45.0,25.8,26.0,32.128571428571426,25.05,38.58
2024-06-02,Tamil Nadu,62.4,45.5,56.3,91.4,178.95,143.45,125.2,91.38,44.58,49.05,201.32,179.28,126.79,130.57,113.16,93.47,56.84,307.42,24.26,46.0,35.95,40.05,36.53,23.86,33.48142857142857,28.74,39.61
